image_paths,cluster,dist
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__17200_32200.tif,30,96
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__22800_58000.tif,63,101
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__5000_29000.tif,44,67
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__33600_25800.tif,24,87
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__32600_57000.tif,35,86
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__19600_53200.tif,50,77
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__35000_52600.tif,35,103
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__38800_35200.tif,69,152
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__39800_18400.tif,62,100
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__13800_31000.tif,58,100
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__29600_17400.tif,45,77
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__10400_37400.tif,19,84
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__12800_43800.tif,82,89
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__31400_42600.tif,29,114
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__18800_32800.tif,80,128
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__24400_1200.tif,46,96
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__18400_7600.tif,28,69
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__7200_11000.tif,30,73
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__19800_40000.tif,16,62
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__14000_27400.tif,63,127
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__32800_44200.tif,7,76
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__13600_22200.tif,36,80
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__38600_26000.tif,8,58
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__37200_35800.tif,18,90
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__1400_39000.tif,0,51
